file1 file2 flip heuristic runtime closed open
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_11_5.csv 10 10 0 10 264
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_12_5.csv 10 10 0 10 251
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_1_5.csv 13 13 0 13 313
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_2_5.csv 13 13 0 13 355
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_3_5.csv 16 16 0 16 375
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_4_5.csv 16 16 0 16 407
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_5_5.csv 10 10 0 10 248
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_6_5.csv 15 15 0 15 387
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_7_5.csv 12 12 0 12 293
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_8_5.csv 18 18 0 18 423
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_9_5.csv 14 14 0 14 361
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_10_5.csv 15 15 0 15 408
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_11_5.csv 12 12 0 12 302
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_12_5.csv 7 7 0 7 180
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_1_5.csv 12 12 0 12 303
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_2_5.csv 13 13 0 13 318
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_3_5.csv 13 13 0 13 310
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_4_5.csv 15 15 0 15 373
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_5_5.csv 10 10 0 10 274
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_6_5.csv 12 12 0 12 296
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_7_5.csv 19 19 0 19 464
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_8_5.csv 15 15 0 15 433
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2001_9_5.csv 12 12 0 12 294
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2002_10_5.csv 16 16 0 16 411
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2002_11_5.csv 13 13 0 13 333
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2002_12_5.csv 17 17 0 17 413
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2002_1_5.csv 11 11 0 11 278
../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2000_10_5.csv ../data/sealevel_experiments_paper/s_25/s_25_5/triangulation/t_2002_2_5.csv 17 17 0 17 404
